iot_device_id,group,update_version,is_runnable,sensor_a,sensor_b,sensor_c
2,B,0.0,True,0.0,0,0
2,B,0.0,True,0.0,0,0
2,B,0.0,True,0.0,0,0
2,B,0.0,True,-0.1,-1,8
2,B,0.0,True,0.7000000000000001,-4,5
2,B,0.0,True,0.9000000000000001,-6,11
2,B,0.0,True,1.1102230246251565e-16,-13,10
2,B,0.0,True,-0.8999999999999999,-19,17
2,B,0.0,True,-0.8999999999999999,-19,17
2,B,0.0,True,-0.3999999999999999,-13,14
2,B,0.0,True,-0.3999999999999999,-13,14
2,B,0.0,True,-0.4999999999999999,-4,7
2,B,0.0,True,-0.4999999999999999,-4,7
2,B,0.0,True,-0.4999999999999999,-4,7
2,B,0.0,True,-0.4999999999999999,-4,7
2,B,0.0,True,-1.1999999999999997,-7,1
2,B,0.0,True,-1.1999999999999997,-7,1
2,B,0.0,True,-1.6999999999999997,-15,7
2,B,0.0,True,-2.0999999999999996,-14,1
2,B,0.0,True,-2.4999999999999996,-23,-2
2,B,0.0,True,-1.8999999999999995,-21,7
2,B,0.0,True,-2.3999999999999995,-14,9
2,B,0.0,True,-2.3999999999999995,-14,9
2,B,0.0,True,-3.0999999999999996,-22,8
2,B,0.0,True,-3.9999999999999996,-29,17
2,B,0.0,False,-4.199999999999999,-31,15
